,날짜,요일,홈,방문,구장,관중수
0,2017/03/31,금,두산,한화,잠실,21121
1,2017/03/31,금,삼성,KIA,대구,13505
2,2017/03/31,금,SK,KT,문학,13649
3,2017/03/31,금,넥센,LG,고척,8013
4,2017/03/31,금,NC,롯데,마산,11000
5,2017/04/01,토,두산,한화,잠실,20636
6,2017/04/01,토,삼성,KIA,대구,10062
7,2017/04/01,토,SK,KT,문학,11291
8,2017/04/01,토,넥센,LG,고척,8889
9,2017/04/01,토,NC,롯데,마산,9596
10,2017/04/02,일,두산,한화,잠실,22457
11,2017/04/02,일,삼성,KIA,대구,14406
12,2017/04/02,일,SK,KT,문학,10186
13,2017/04/02,일,넥센,LG,고척,9130
14,2017/04/02,일,NC,롯데,마산,11000
15,2017/04/04,화,한화,NC,대전,10597
16,2017/04/04,화,KT,두산,수원,15804
17,2017/04/04,화,KIA,SK,광주,18069
18,2017/04/04,화,LG,삼성,잠실,16411
19,2017/04/04,화,롯데,넥센,사직,24954
20,2017/04/06,목,한화,NC,대전,6150
21,2017/04/06,목,KT,두산,수원,4426
22,2017/04/06,목,KIA,SK,광주,4211
23,2017/04/06,목,LG,삼성,잠실,12166
24,2017/04/06,목,롯데,넥센,사직,3864
25,2017/04/07,금,KIA,한화,광주,8296
26,2017/04/07,금,롯데,LG,사직,11191
27,2017/04/07,금,SK,NC,문학,3492
28,2017/04/07,금,KT,삼성,수원,5147
29,2017/04/07,금,두산,넥센,잠실,10027
30,2017/04/08,토,KIA,한화,광주,19853
31,2017/04/08,토,롯데,LG,사직,22607
32,2017/04/08,토,SK,NC,문학,9279
33,2017/04/08,토,KT,삼성,수원,11031
34,2017/04/08,토,두산,넥센,잠실,15278
35,2017/04/09,일,KIA,한화,광주,16614
36,2017/04/09,일,롯데,LG,사직,20022
37,2017/04/09,일,SK,NC,문학,10057
38,2017/04/09,일,KT,삼성,수원,13174
39,2017/04/09,일,두산,넥센,잠실,13177
40,2017/04/11,화,삼성,한화,대구,5752
41,2017/04/11,화,두산,KIA,잠실,14895
42,2017/04/11,화,넥센,KT,고척,2535
43,2017/04/11,화,NC,LG,마산,4582
44,2017/04/11,화,SK,롯데,문학,6745
45,2017/04/12,수,삼성,한화,대구,6060
46,2017/04/12,수,두산,KIA,잠실,13649
47,2017/04/12,수,넥센,KT,고척,3569
48,2017/04/12,수,NC,LG,마산,4719
49,2017/04/12,수,SK,롯데,문학,6183
50,2017/04/13,목,삼성,한화,대구,5446
51,2017/04/13,목,두산,KIA,잠실,16213
52,2017/04/13,목,넥센,KT,고척,3802
53,2017/04/13,목,NC,LG,마산,5134
54,2017/04/13,목,SK,롯데,문학,5911
55,2017/04/14,금,LG,KT,잠실,9710
56,2017/04/14,금,NC,두산,마산,4576
57,2017/04/14,금,한화,SK,대전,6657
58,2017/04/14,금,롯데,삼성,사직,12459
59,2017/04/14,금,KIA,넥센,광주,8098
60,2017/04/15,토,LG,KT,잠실,17337
61,2017/04/15,토,NC,두산,마산,7231
62,2017/04/15,토,한화,SK,대전,13000
63,2017/04/15,토,롯데,삼성,사직,23997
64,2017/04/15,토,KIA,넥센,광주,16811
65,2017/04/16,일,LG,KT,잠실,15224
66,2017/04/16,일,NC,두산,마산,7069
67,2017/04/16,일,한화,SK,대전,11090
68,2017/04/16,일,롯데,삼성,사직,20841
69,2017/04/16,일,KIA,넥센,광주,13578
70,2017/04/18,화,KT,KIA,수원,6545
71,2017/04/18,화,한화,LG,대전,5080
72,2017/04/18,화,롯데,NC,사직,12252
73,2017/04/18,화,두산,삼성,잠실,6391
74,2017/04/18,화,SK,넥센,문학,3244
75,2017/04/19,수,KT,KIA,수원,10493
76,2017/04/19,수,한화,LG,대전,7213
77,2017/04/19,수,롯데,NC,사직,10060
78,2017/04/19,수,두산,삼성,잠실,8062
79,2017/04/19,수,SK,넥센,문학,4817
80,2017/04/20,목,KT,KIA,수원,9222
81,2017/04/20,목,한화,LG,대전,5572
82,2017/04/20,목,롯데,NC,사직,8148
83,2017/04/20,목,두산,삼성,잠실,8509
84,2017/04/20,목,SK,넥센,문학,4025
85,2017/04/21,금,KT,한화,수원,10193
86,2017/04/21,금,LG,KIA,잠실,23263
87,2017/04/21,금,넥센,롯데,고척,5655
88,2017/04/21,금,삼성,NC,대구,6951
89,2017/04/21,금,SK,두산,문학,10071
90,2017/04/22,토,KT,한화,수원,18507
91,2017/04/22,토,LG,KIA,잠실,25000
92,2017/04/22,토,넥센,롯데,고척,12276
93,2017/04/22,토,삼성,NC,대구,12077
94,2017/04/22,토,SK,두산,문학,22848
95,2017/04/23,일,KT,한화,수원,17636
96,2017/04/23,일,LG,KIA,잠실,25000
97,2017/04/23,일,넥센,롯데,고척,11407
98,2017/04/23,일,삼성,NC,대구,11153
99,2017/04/23,일,SK,두산,문학,22501
100,2017/04/25,화,롯데,한화,사직,9595
101,2017/04/25,화,NC,KT,마산,4216
102,2017/04/25,화,넥센,두산,고척,6411
103,2017/04/25,화,LG,SK,잠실,10004
104,2017/04/25,화,KIA,삼성,광주,8048
105,2017/04/26,수,롯데,한화,사직,12203
106,2017/04/26,수,NC,KT,마산,5184
107,2017/04/26,수,넥센,두산,고척,6876
108,2017/04/26,수,LG,SK,잠실,10730
109,2017/04/26,수,KIA,삼성,광주,11214
110,2017/04/27,목,롯데,한화,사직,14823
111,2017/04/27,목,NC,KT,마산,5591
112,2017/04/27,목,넥센,두산,고척,8402
113,2017/04/27,목,LG,SK,잠실,11111
114,2017/04/27,목,KIA,삼성,광주,12075
115,2017/04/28,금,KT,LG,수원,8251
116,2017/04/28,금,두산,롯데,잠실,22131
117,2017/04/28,금,KIA,NC,광주,15088
118,2017/04/28,금,삼성,SK,대구,8015
119,2017/04/28,금,한화,넥센,대전,8639
120,2017/04/29,토,KT,LG,수원,17105
121,2017/04/29,토,두산,롯데,잠실,25000
122,2017/04/29,토,KIA,NC,광주,20500
123,2017/04/29,토,삼성,SK,대구,12011
124,2017/04/29,토,한화,넥센,대전,13000
125,2017/04/30,일,KT,LG,수원,16331
126,2017/04/30,일,두산,롯데,잠실,25000
127,2017/04/30,일,KIA,NC,광주,20500
128,2017/04/30,일,삼성,SK,대구,11254
129,2017/04/30,일,한화,넥센,대전,11286
130,2017/05/02,화,SK,한화,문학,19045
131,2017/05/02,화,넥센,KIA,고척,14223
132,2017/05/02,화,KT,롯데,수원,8503
133,2017/05/02,화,LG,NC,잠실,14887
134,2017/05/02,화,삼성,두산,대구,9384
135,2017/05/03,수,SK,한화,문학,25000
136,2017/05/03,수,넥센,KIA,고척,17000
137,2017/05/03,수,KT,롯데,수원,16078
138,2017/05/03,수,LG,NC,잠실,20180
139,2017/05/03,수,삼성,두산,대구,14812
